timestep,command,reward
393,forward,4.077178
394,forward,3.887952
395,forward,3.652759
396,forward,4.667638
397,forward,5.102439
398,forward,4.721031
399,forward,5.046146
400,forward,4.215030
401,forward,3.965436
402,forward,4.280693
403,forward,5.032716
404,forward,5.036336
405,forward,4.640806
406,forward,5.001358
407,forward,4.260802
408,forward,4.049893
409,forward,4.398980
410,forward,4.994274
411,forward,4.822158
412,forward,4.783605
413,forward,4.827484
414,forward,4.173902
415,forward,4.208365
416,forward,3.944656
417,forward,4.866620
418,forward,4.991269
419,forward,5.004713
420,forward,5.182299
421,forward,4.560122
422,forward,4.173581
423,forward,3.818193
424,forward,4.814149
425,forward,5.148302
426,forward,4.583690
427,forward,5.029376
428,forward,4.520675
429,forward,3.977928
430,forward,4.114496
431,forward,5.161176
432,forward,5.093542
433,forward,4.536517
434,forward,4.916091
435,forward,4.488325
436,forward,3.658224
437,forward,4.055219
438,forward,4.958537
439,forward,5.036934
440,stand,-9.555510
441,stand,-16.828705
442,stand,-7.176221
443,stand,-4.914570
444,stand,-4.957537
445,stand,-2.396410
446,stand,-1.466358
447,stand,-1.343771
448,stand,-1.929789
449,stand,-2.382132
450,stand,-3.230900
451,stand,-4.497594
452,stand,-5.968545
453,stand,-7.564477
454,stand,-9.147533
455,stand,-9.892505
456,stand,-9.213006
457,stand,-9.044527
458,stand,-8.633700
459,stand,-5.034260
460,stand,-5.039244
461,stand,-5.039317
462,stand,-5.028998
463,stand,-5.024333
464,stand,-5.018315
465,stand,-5.022124
466,stand,-2.984901
467,stand,-1.053509
468,stand,-1.493784
469,stand,-2.348217
470,left,1.767645
471,left,2.939839
472,left,3.885133
473,left,-5.027723
474,left,-5.026877
475,left,-5.024647
476,left,-5.027997
477,left,-5.031798
478,left,-5.021416
479,left,-5.028784
480,left,-5.026154
481,left,-5.020403
482,left,-5.019367
483,left,-5.018996
484,left,-5.023138
485,left,-5.024723
486,left,-5.025060
487,left,-5.023943
488,left,-5.021404
489,left,-5.029767
490,left,-5.019992
491,left,-5.025360
492,left,-5.021481
493,left,-5.028354
494,left,-5.021265
495,left,-5.023752
496,left,-5.021075
497,left,-5.022500
498,left,-5.021407
499,left,-5.021820
500,forward,-2.987164
501,forward,-4.284050
502,forward,-0.372752
503,forward,-0.770389
504,forward,-0.358502
505,forward,-0.077981
506,forward,-0.066074
507,forward,-0.050256
508,forward,-0.048471
509,forward,-0.050298
510,forward,-0.064791
511,forward,-0.052369
512,forward,-0.061623
513,forward,-0.086899
514,forward,-0.081828
515,forward,-0.272139
516,forward,-0.180806
517,forward,-0.109061
518,forward,-0.074438
519,forward,-0.226458
520,forward,-0.176038
521,forward,-0.127909
522,forward,-0.149658
523,forward,-0.100309
524,forward,-0.127570
525,forward,-0.175214
526,forward,-0.153174
527,forward,-0.152998
528,forward,-0.123573
529,forward,-0.165325
530,forward,-0.106894
531,forward,-0.178575
532,forward,-0.124605
533,forward,-0.121996
534,forward,-0.137497
535,forward,-0.169344
536,forward,-0.133001
537,forward,-0.137920
538,forward,-0.121724
539,forward,-0.195617
540,forward,-0.150113
541,forward,-0.161828
542,forward,-0.138475
543,forward,-0.115377
544,forward,-0.143835
545,forward,-0.176161
546,forward,-0.135780
547,forward,-0.140018
548,forward,-0.127538
549,forward,-0.160648
550,right,-5.024718
551,right,-5.028245
552,right,-5.029718
553,right,-5.030404
554,right,-5.021918
555,right,-5.023905
556,right,-5.028201
557,right,-5.022479
558,right,-5.020021
559,right,-5.027471
560,right,-5.029244
561,right,-5.038038
562,right,-5.028995
563,right,-5.028073
564,right,-5.028887
565,right,-5.013290
566,right,-5.029436
567,right,-5.019405
568,right,-5.025255
569,right,-5.021606
570,right,-5.022406
571,right,-5.022279
572,right,3.638606
573,right,2.883862
574,right,3.096970
575,right,3.354754
576,right,-5.021751
577,right,-5.033192
578,right,-5.033243
579,right,-5.019698
580,forward,-3.478180
581,forward,-1.636727
582,forward,-1.697179
583,forward,-1.602752
584,forward,-0.529493
585,forward,-0.958100
586,forward,-0.430304
587,forward,-1.334997
588,forward,-0.223246
589,forward,-0.687455
590,forward,-0.638970
591,forward,-0.318968
592,forward,-0.200103
593,forward,-0.232074
594,forward,-0.141445
595,forward,-0.139443
596,forward,-0.110464
597,forward,-0.123269
598,forward,-0.121119
599,forward,-0.140373
600,forward,-0.149549
601,forward,-0.121749
602,forward,-0.139826
603,forward,-0.063668
604,forward,-0.097418
605,forward,-0.055339
606,forward,-0.093093
607,forward,-0.070946
608,forward,-0.079573
609,forward,-0.064704
610,forward,-0.159225
611,forward,-0.095835
612,forward,-0.079897
613,forward,-0.089161
614,forward,-0.113891
615,forward,-0.200245
616,forward,-0.308413
617,forward,-0.153952
618,forward,-0.525886
619,forward,-0.981182
620,forward,-0.400672
621,forward,-0.122685
622,forward,-0.310477
623,forward,-0.107447
624,forward,-0.227757
625,forward,-0.142908
626,forward,-0.130627
627,forward,-0.147438
628,forward,-0.201934
629,forward,-0.129661
630,forward,-0.136896
631,forward,-0.147104
632,forward,-0.120636
633,forward,-0.142525
634,forward,-0.175699
635,forward,-0.123969
636,forward,-0.130888
637,forward,-0.133386
638,forward,-0.166766
639,forward,-0.135353
640,forward,-0.135791
641,forward,-0.122679
642,forward,-0.194782
643,forward,-0.149222
644,forward,-0.167437
645,forward,-0.137946
646,forward,-0.117651
647,forward,-0.139638
648,forward,-0.195280
649,forward,-0.148485
650,forward,-0.149937
651,forward,-0.131438
652,forward,-0.145005
653,forward,-0.141814
654,forward,-0.119878
655,forward,-0.131295
656,forward,-0.151154
657,forward,-0.137379
658,forward,-0.133550
659,forward,-0.129607
660,forward,-0.170111
661,forward,-0.136704
662,forward,-0.135689
663,forward,-0.125978
664,forward,-0.172629
665,forward,-0.140190
666,forward,-0.157675
667,forward,-0.131435
668,forward,-0.119616
669,forward,-0.132800
670,forward,-0.154020
671,forward,-0.133112
672,forward,-0.133596
673,forward,-0.125208
674,forward,-0.174456
675,forward,-0.140242
676,forward,-0.137603
677,forward,-0.125300
678,forward,-0.164820
679,forward,-0.138603
680,stand,-5.029359
681,stand,-5.029485
682,stand,-5.030079
683,stand,-5.032351
684,stand,-5.032687
685,stand,-5.029721
686,stand,-5.029092
687,stand,-5.033856
688,stand,-5.029970
689,stand,-5.034623
690,stand,-5.032179
691,stand,-5.037133
692,stand,-5.030626
693,stand,-5.031896
694,stand,-5.032453
695,stand,-5.032577
696,stand,-5.037311
697,stand,-5.030202
698,stand,-5.031044
699,stand,-5.030784
700,stand,-5.031480
701,stand,-5.031297
702,stand,-5.031947
703,stand,-5.031741
704,stand,-5.031604
705,stand,-5.031467
706,stand,-5.031318
707,stand,-5.031163
708,stand,-5.031033
709,stand,-5.030882
710,left,-5.029233
711,left,-5.030049
712,left,-5.023644
713,left,-5.029977
714,left,-5.032058
715,left,-5.019643
716,left,-5.022230
717,left,-5.018579
718,left,-5.019089
719,left,-5.017066
720,left,-5.020548
721,left,-5.018972
722,left,-5.018753
723,left,-5.020162
724,left,-5.022720
725,left,-5.027108
726,left,-5.027190
727,left,-5.022058
728,left,-5.033909
729,left,-5.023229
730,left,-5.032338
731,left,-5.022538
732,left,-5.031189
733,left,-5.025939
734,left,-5.026892
735,left,-5.026008
736,left,-5.025906
737,left,-5.025623
738,left,-5.025022
739,left,-5.024829
740,forward,-1.528652
741,forward,-5.535758
742,forward,-0.955314
743,forward,-0.689699
744,forward,-1.128650
745,forward,-0.675400
746,forward,-0.482418
747,forward,-0.533262
748,forward,-0.471678
749,forward,-1.123991
750,forward,-1.350788
751,forward,-2.282391
752,forward,-1.159268
753,forward,-1.258816
754,forward,-0.601019
755,forward,-0.244732
756,forward,-0.116354
757,forward,-0.398701
758,forward,-0.363387
759,forward,-0.398242
760,forward,-0.186102
761,forward,-0.122066
762,forward,-0.200512
763,forward,-0.154367
764,forward,-0.125379
765,forward,-0.512470
766,forward,-0.250069
767,forward,-0.215375
768,forward,-0.138575
769,forward,-0.159206
770,forward,-0.425474
771,forward,-1.052698
772,forward,-1.925295
773,forward,-0.553755
774,forward,-0.263985
775,forward,-0.264186
776,forward,-0.258673
777,forward,-0.275798
778,forward,-0.283454
779,forward,-0.280658
780,forward,-0.253326
781,forward,-0.275418
782,forward,-0.157873
783,forward,-0.226048
784,forward,-0.120103
785,forward,-0.140934
786,forward,-0.061130
787,forward,-0.061071
788,forward,-0.052703
789,forward,-0.045928
