episode,timestep,episode_reward,episode_length
256,41700,-30.3189,41
257,41980,43.4661,92
258,42130,11.5768,91
259,42200,-4413.7658,1000
260,42220,-13.6459,24
261,42250,-45.9462,184
262,42250,-42.8657,470
263,42430,36.0815,73
264,42470,122.4368,225
265,42690,-14.6664,22
266,42840,7.5212,71
267,42970,-9.2929,72
268,43030,37.1260,34
269,43210,21.4761,101
270,43700,26.8442,289
271,43790,0.3187,95
272,44580,38.2802,161
273,44710,-5.4090,13
274,44750,44.3537,154
275,44820,157.5611,239
276,45040,39.2964,29
277,45280,51.9167,46
278,45590,169.9977,189
279,45620,56.9425,58
280,45750,-5.7068,47
281,45770,11.1160,106
282,46430,193.4366,340
283,46500,100.9557,73
284,46580,18.7594,96
285,46880,65.5211,129
286,47420,149.4894,363
287,47460,185.2097,96
288,47480,-49.9892,173
289,47640,6.7431,18
290,48270,82.4691,79
291,48570,200.9250,169
292,48920,127.6372,128
293,49490,64.3247,57
294,49690,-4743.9930,1000
295,49700,156.4176,327
296,49790,-4602.3644,1000
297,50040,0.6724,35
298,50100,79.1787,31
299,50110,16.2341,62
300,50360,-13.6766,32
301,50410,424.7190,299
302,50610,9.0132,25
303,50660,143.5365,239
304,50890,4.6817,23
305,51100,75.8314,99
306,51320,11.6727,91
307,51330,70.6203,123
308,51510,46.0932,41
309,51730,33.8877,316
310,52220,-4605.6658,1000
311,52250,-4089.2433,1000
312,52530,-36.0113,121
313,52640,90.5062,175
314,52830,64.9418,61
315,53070,19.9062,337
316,53260,101.6816,265
317,53560,107.0478,92
318,53890,159.3425,136
319,53960,138.7723,113
320,53980,126.3642,91
321,53990,29.9410,174
322,54380,22.5708,40
323,54730,73.8018,84
324,54740,52.1934,36
325,54860,-3.1618,13
326,55420,212.8225,143
327,55800,311.7754,407
328,55970,-70.1606,241
329,56200,80.6364,40
330,56290,58.6299,155
331,56580,-2311.3679,1000
332,56580,-3.0318,29
333,56760,54.1225,134
334,56870,65.9149,29
335,57190,163.0209,233
336,57350,96.6237,115
337,57360,102.9679,49
338,57510,76.8434,154
339,58080,14.1648,72
340,58110,198.3768,153
341,58170,59.7588,98
342,58180,25.8296,83
343,58210,331.9737,425
344,58790,31.1865,58
345,58840,43.1416,73
346,58880,46.8682,137
347,59030,40.3624,15
348,59270,-49.7413,251
349,59490,6.8259,65
350,59730,155.0578,94
351,60070,118.2009,190
352,60340,5.2713,107
353,60490,462.8925,723
354,60920,38.5254,58
355,60920,131.3803,189
356,60970,74.4075,90
357,60990,222.5857,281
358,61140,157.8514,141
359,61320,7.4418,35
360,61330,-1966.1559,1000
361,61510,-3744.4073,1000
362,61560,112.3444,107
363,61630,11.3304,31
364,62030,151.4095,111
365,62710,120.6783,120
366,62810,120.5323,78
367,62910,252.3237,199
368,63090,56.0174,38
369,63160,305.0271,202
370,63530,46.7261,37
371,63700,51.5929,61
372,63740,201.8975,241
373,63900,275.4720,234
374,64110,299.2567,312
375,64140,61.0607,40
376,64610,213.2548,180
377,64760,276.8493,185
378,64810,14.4725,70
379,64870,11.0697,26
380,64880,59.0935,118
381,65080,209.8016,118
382,65160,79.3592,29
383,65410,90.5640,53
384,65450,60.8082,64
385,65660,49.2459,90
386,65860,4.2707,20
387,66060,60.5977,65
388,66070,37.2565,21
389,66150,129.5842,99
390,66630,215.0182,155
391,67320,438.2509,318
392,67590,252.0046,152
393,67870,112.1034,124
394,68080,229.0423,263
395,68080,-4650.0774,1000
396,68360,250.1249,230
397,68560,157.8930,124
398,68710,48.2282,112
399,68710,132.0743,84
400,69180,9.0570,82
401,69390,-52.7992,68
402,69490,-4266.7096,1000
403,69510,182.9913,143
404,69700,195.6463,99
405,69740,4.1164,25
406,70410,120.5933,102
407,70440,119.5192,93
408,70880,93.5909,118
409,71260,209.5760,85
410,71440,6.0715,56
411,71520,171.6773,234
412,71600,522.1727,352
413,71630,-3655.3884,1000
414,71740,225.0522,130
415,71790,29.3023,53
416,71790,28.0855,27
417,72210,72.0383,58
418,72320,166.0823,258
419,72710,80.2728,39
420,72710,170.3550,92
421,72860,188.5669,126
422,73280,102.5806,42
423,73530,-3452.0237,1000
424,73710,135.6359,100
425,73720,159.7458,151
426,74190,49.8601,66
427,74310,36.1924,12
428,74400,515.5903,296
429,74590,105.4682,87
430,74770,72.4236,37
431,75250,289.2039,254
432,75300,163.6091,99
433,75390,158.7222,62
434,75770,77.2669,47
435,75880,88.2744,63
436,76150,-4400.8013,1000
437,76170,291.5009,158
438,76310,57.9945,92
439,76330,97.9583,56
440,76680,35.5281,80
441,77130,241.5626,385
442,77270,17.4484,14
443,77350,172.2289,120
444,78260,224.5806,99
445,78440,212.6542,176
446,78560,-4818.6832,1000
447,78880,689.5975,517
448,79170,87.5855,91
449,79250,187.2064,69
450,79310,84.2689,43
451,79560,581.5109,325
452,80150,214.0191,171
453,80170,522.7411,282
454,80190,133.9816,94
455,80530,289.4672,136
456,80790,238.9754,148
457,81270,954.1031,494
458,81480,282.3449,192
459,81590,204.9908,80
460,81710,265.1490,154
461,81740,-4492.6639,1000
462,81790,-4651.7307,1000
463,82320,12.8802,53
464,82380,140.8558,79
465,82480,12.5950,16
466,82540,523.7625,201
467,82980,74.8253,60
468,83120,13.3935,14
469,83120,550.4548,293
470,83750,338.3038,248
471,83750,312.4730,201
472,83880,11.8865,13
473,84240,659.8721,409
474,84400,230.7042,186
475,84730,303.0848,161
476,84760,181.3800,228
477,85240,152.2958,136
478,85290,474.7651,217
479,85430,190.6934,119
480,86170,304.5001,144
481,86170,-4741.1449,1000
482,86210,456.3453,181
483,87010,273.2831,172
484,87440,107.8003,43
485,87570,371.8507,214
486,88070,275.5733,190
487,88610,224.7783,117
488,88630,470.9177,246
489,88800,254.1750,123
490,90160,314.4749,155
491,90190,185.9817,212
492,90210,841.9451,400
493,90920,146.9223,76
494,91480,-4780.8663,1000
495,91710,-4640.2454,1000
496,91860,72.4157,38
497,92830,151.3483,191
498,92830,235.5848,112
499,93750,-4400.0468,1000
500,94090,69.2903,34
501,94210,759.4665,402
502,94260,13.7724,17
503,94760,-4643.0865,1000
504,94920,204.9849,66
505,95240,-3859.9426,1000
506,95780,271.0854,102
507,96260,80.4269,48
508,96400,1468.8043,760
509,96700,53.9875,44
510,96840,19.9622,14
511,97750,222.6444,135
512,98630,-3265.1864,1000
513,98690,827.9808,448
514,98860,516.9008,202
515,99460,151.1543,83
516,100210,1016.2972,497
517,100210,-4016.9706,1000
518,100260,1311.6094,743
519,100530,339.9216,184
520,100710,42.4563,50
521,100760,662.5020,301
522,101620,293.0088,109
523,101860,-4429.3593,1000
524,101910,43.9302,29
525,102030,328.0141,132
526,102120,300.9727,191
527,102830,-4647.3493,1000
528,103060,810.6031,420
529,103090,1846.1115,817
530,104240,319.7739,141
531,104390,17.3250,15
532,104520,357.8396,146
533,104730,352.1449,282
534,105720,409.6204,133
535,105750,1041.5923,549
536,106340,71.2978,62
537,106840,60.5758,50
538,107160,544.7206,243
539,107250,21.7125,41
540,108460,558.5700,271
541,109460,-4081.6189,1000
542,110110,607.1371,295
543,110220,272.3160,176
544,110570,706.6439,332
545,110680,159.1752,57
546,110760,-3874.4212,1000
547,111150,320.7702,93
548,111580,133.6670,82
549,111860,-3889.2192,1000
550,112030,-4187.3085,1000
551,112120,-3816.9470,1000
552,112360,10.3034,33
553,112980,118.7953,112
554,113090,-4634.2558,1000
555,114510,335.2249,215
556,114520,-4467.7317,1000
557,115290,772.7054,317
558,116010,163.5422,72
559,116010,753.6542,292
560,116540,105.1809,53
561,116580,345.6380,207
562,118810,851.9836,429
563,119120,435.8438,258
564,119460,-4662.8600,1000
565,119940,190.3834,82
566,120240,230.0046,143
567,120380,66.3699,44
568,120570,2057.3831,1000
569,120680,-3284.3630,1000
570,120700,118.0399,46
571,121150,-3584.7647,1000
572,121550,842.9167,497
573,121580,-3352.7317,1000
574,121850,97.6130,70
575,122980,-3092.0797,1000
576,123500,470.6840,312
577,123790,543.4970,309
578,123840,185.9682,86
579,126010,-4387.8829,1000
580,128320,1535.4918,647
581,128550,58.5872,23
582,129320,1189.8370,553
583,129460,-3658.6660,1000
584,129550,8.9861,23
585,129770,24.7034,31
586,129950,50.9767,18
587,129970,758.7490,396
588,130570,2004.5805,1000
589,130680,-4486.2539,1000
590,131020,50.8674,34
591,131280,677.7532,273
592,131550,-2340.7682,1000
593,131580,-1580.7306,1000
594,132860,222.5931,131
595,132880,348.6771,160
596,133190,637.0309,324
597,133500,-1227.3078,1000
598,133650,206.1268,77
599,133840,-1708.9287,1000
600,134580,119.0089,139
601,136120,326.0179,247
602,136850,870.5399,527
603,137630,719.6691,305
604,138000,1235.1876,698
605,138050,844.5036,455
606,138710,117.7185,66
607,139550,-4061.1031,1000
608,139970,1886.4041,1000
609,140180,1210.4741,634
610,140320,650.9176,347
611,140570,-2635.3380,1000
612,140950,246.7395,140
613,141130,79.4009,81
614,142860,1763.3409,1000
615,143010,490.2539,304
616,144340,340.7747,148
617,146120,1825.2215,1000
618,147610,865.2751,648
619,147630,1363.5927,1000
620,148000,-857.4548,1000
621,148710,-2668.3632,1000
622,149270,82.2190,56
623,150180,1551.8440,1000
624,150570,-2443.2072,1000
625,150950,1586.3912,1000
626,153010,-2073.4494,1000
627,153410,701.6959,541
628,153730,605.8034,446
629,154210,974.7177,658
630,154340,1247.4754,1000
631,156120,1120.3544,1000
632,157610,-338.3137,1000
633,158170,173.4256,56
634,158380,815.3549,465
635,159200,762.6811,499
636,160180,1368.7409,1000
637,160570,1878.3117,1000
638,160950,1351.5983,1000
639,161220,42.2266,65
640,163010,1721.9554,1000
641,163140,1549.6378,880
642,163410,-4251.3581,1000
643,163710,405.9250,276
644,166120,2117.8551,1000
645,168170,-2257.1207,1000
646,168380,-1279.4190,1000
647,169200,1283.8988,1000
648,170180,1709.5651,1000
649,170800,1363.9175,766
650,171220,1841.8746,1000
651,173010,-4635.0246,1000
652,173410,-2161.4725,1000
653,173450,1514.4573,974
654,176120,-1384.0491,1000
655,178170,1718.0336,1000
656,178380,1872.7155,1000
657,179200,2116.5838,1000
658,180180,1975.2742,1000
659,180800,1907.6474,1000
660,181220,2122.2076,1000
661,183010,1762.4474,1000
662,183410,1864.6694,1000
663,183450,1735.3488,1000
664,186120,408.2447,1000
665,188170,2101.9907,1000
666,188380,2218.2234,1000
667,189200,-800.4639,1000
668,190180,-3102.1084,1000
669,190800,-4711.9430,1000
670,191220,-4268.7920,1000
671,192520,1998.9792,951
672,193410,1967.6974,1000
673,193450,-1306.5531,1000
674,196120,914.0264,1000
675,197650,910.0360,513
676,198170,-3263.6266,1000
677,198380,-4610.9468,1000
678,199200,1442.1568,1000
679,200180,-1741.8339,1000
680,200800,1814.3166,1000
681,201220,1717.6572,1000
682,201760,261.2301,256
683,203410,-3508.4402,1000
684,203450,1584.1990,1000
685,206120,1980.9653,1000
686,206230,41.0503,11
687,206540,706.3831,313
688,207650,2026.7202,1000
689,208170,-4239.7178,1000
690,208380,2215.1991,1000
691,209150,1490.4793,570
692,210180,-383.0684,1000
693,210800,2445.7898,1000
694,211220,-704.0971,1000
695,211360,573.0738,221
696,211760,-2318.9634,1000
697,212620,1182.1703,424
698,213400,1617.9555,523
699,214660,995.5188,448
700,215930,1146.3059,513
701,216210,1032.0976,499
702,216230,2700.7128,1000
703,216540,2647.7342,1000
704,216790,155.0660,58
705,217440,130.2669,90
706,217650,2477.1921,1000
