episode,reward
1,717.6812531296241
2,721.0662290696528
3,604.3490846189085
4,612.4789164204576
5,656.4179850646085
6,650.8394808975288
7,721.9592165831114
8,629.8936367811843
9,614.371012578275
10,694.8906337871891
11,611.6892850105211
12,721.3296769862607
13,725.3243461199957
14,617.4359642001393
15,725.5364464595816
16,707.6856160397845
17,636.3524279181967
18,722.352029452803
19,700.0871698036137
20,612.2017509750456
