timestep,command,reward
696,stand,-5.028279
697,stand,-5.030017
698,stand,-5.035585
699,stand,-5.028333
700,stand,-5.029792
701,stand,-5.034566
702,stand,-5.027900
703,stand,-5.028947
704,stand,-5.032798
705,stand,-5.026689
706,stand,-5.027692
707,stand,-5.029790
708,stand,-5.031167
709,stand,-5.031829
710,left,-5.031352
711,left,-5.031904
712,left,2.795628
713,left,3.282512
714,left,3.280047
715,left,3.086582
716,left,-5.018712
717,left,-5.026950
718,left,-5.029780
719,left,-5.024946
720,left,-5.028799
721,left,-5.029248
722,left,-5.029486
723,left,-5.020841
724,left,-5.027308
725,left,-5.024922
726,left,-5.032824
727,left,-5.023641
728,left,2.688365
729,left,-5.021970
730,left,-5.030804
731,left,-5.027941
732,left,-5.036149
733,left,-5.029019
734,left,-5.034919
735,left,-5.029611
736,left,-5.027233
737,left,-5.030929
738,left,-5.032606
739,left,-5.025562
740,forward,-2.561861
741,forward,-6.807336
742,forward,-0.485789
743,forward,-0.495389
744,forward,-0.180454
745,forward,-0.410725
746,forward,-0.239300
747,forward,-0.662689
748,forward,-0.297425
749,forward,-0.349693
750,forward,-0.293862
751,forward,-0.259676
752,forward,-0.158438
753,forward,-0.267554
754,forward,-0.132350
755,forward,-0.352404
756,forward,-0.805113
757,forward,-0.936187
758,forward,-0.558844
759,forward,-0.493172
760,forward,-0.131659
761,forward,-0.202042
762,forward,-0.203140
763,forward,-0.291339
764,forward,-0.176747
765,forward,-0.442574
766,forward,-0.080718
767,forward,-0.512457
768,forward,-0.220951
769,forward,-0.125119
770,forward,-0.162071
771,forward,-0.112714
772,forward,-0.266477
773,forward,-0.514390
774,forward,-0.756710
775,forward,-0.454308
776,forward,-0.414964
777,forward,-0.496774
778,forward,-0.152167
779,forward,-0.157201
780,forward,-0.241702
781,forward,-0.121341
782,forward,-0.149957
783,forward,-0.252054
784,forward,-0.166368
785,forward,-0.153116
786,forward,-0.133334
787,forward,-0.190563
788,forward,-0.187276
789,forward,-0.277239
