timestep,command,reward
526,forward,4.553380
527,forward,3.452103
528,forward,4.014060
529,forward,5.167921
530,forward,4.782692
531,forward,4.106813
532,forward,4.278454
533,forward,4.127122
534,forward,4.904442
535,forward,3.769957
536,forward,4.421122
537,forward,5.263858
538,forward,4.466085
539,forward,4.152192
540,forward,3.624333
541,forward,4.976726
542,forward,4.555486
543,forward,3.948077
544,forward,5.330059
545,forward,4.779850
546,forward,4.789996
547,forward,4.262681
548,forward,4.990833
549,forward,4.187423
550,right,3.725718
551,right,3.919341
552,right,2.928289
553,right,-0.903707
554,right,1.653408
555,right,4.988725
556,right,4.936524
557,right,4.612737
558,right,4.053959
559,right,3.919533
560,right,4.854703
561,right,5.287249
562,right,5.373545
563,right,3.269274
564,right,5.156499
565,right,5.247125
566,right,5.110032
567,right,5.264908
568,right,5.411673
569,right,5.443470
570,right,5.266525
571,right,5.330997
572,right,5.258192
573,right,5.353094
574,right,5.397559
575,right,5.381999
576,right,5.278424
577,right,5.337764
578,right,5.414821
579,right,5.412320
580,forward,0.409016
581,forward,-0.201936
582,forward,0.891391
583,forward,1.108121
584,forward,1.754948
585,forward,1.828980
586,forward,0.518920
587,forward,-1.039573
588,forward,0.397446
589,forward,2.419014
590,forward,3.644798
591,forward,0.366995
592,forward,1.730912
593,forward,1.904120
594,forward,2.218022
595,forward,2.384506
596,forward,4.527186
597,forward,3.492527
598,forward,2.664864
599,forward,3.357734
600,forward,2.959719
601,forward,3.426390
602,forward,2.679702
603,forward,4.795169
604,forward,4.175293
605,forward,3.138176
606,forward,2.434304
607,forward,3.583314
608,forward,2.897719
609,forward,4.315480
610,forward,4.979359
611,forward,4.401664
612,forward,4.158479
613,forward,3.681467
614,forward,4.414343
615,forward,3.830600
616,forward,4.742848
617,forward,4.403836
618,forward,4.347280
619,forward,3.866981
620,forward,4.414158
621,forward,2.809335
622,forward,5.280138
623,forward,4.598155
624,forward,4.808855
625,forward,4.346299
626,forward,3.982647
627,forward,4.202267
628,forward,3.408079
629,forward,5.299451
630,forward,4.301394
