timestep,command,reward
427,forward,4.170409
428,forward,5.058873
429,forward,3.579663
430,forward,3.701728
431,forward,3.926032
432,forward,5.285169
433,forward,4.253242
434,forward,4.101955
435,forward,3.550874
436,forward,5.048581
437,forward,3.577626
438,forward,3.891611
439,forward,2.757666
440,stand,0.591679
441,stand,0.819991
442,stand,-1.425640
443,stand,2.281473
444,stand,3.108157
445,stand,2.957910
446,stand,3.461829
447,stand,3.763794
448,stand,3.782400
449,stand,3.787055
450,stand,3.786198
451,stand,3.785338
452,stand,3.785046
453,stand,3.784875
454,stand,3.784781
455,stand,3.784733
456,stand,3.784701
457,stand,3.784677
458,stand,3.784660
459,stand,3.784648
460,stand,3.784640
461,stand,3.784633
462,stand,3.784629
463,stand,3.784626
464,stand,3.784624
465,stand,3.784622
466,stand,3.784621
467,stand,3.784620
468,stand,3.784619
469,stand,3.784619
470,left,5.034089
471,left,5.158551
472,left,3.820245
473,left,4.614958
474,left,3.888105
475,left,4.708942
476,left,5.164717
477,left,5.068765
478,left,5.041878
479,left,4.923422
480,left,5.266139
481,left,4.999284
482,left,5.082310
483,left,5.021866
484,left,5.025427
485,left,4.042260
486,left,5.187667
487,left,5.080194
488,left,4.979917
489,left,4.973080
490,left,4.935105
491,left,5.108073
492,left,5.043604
493,left,5.093533
494,left,5.019327
495,left,4.999501
496,left,5.198178
497,left,5.189998
498,left,5.137184
499,left,4.867235
500,forward,1.551875
501,forward,1.998866
502,forward,2.568380
503,forward,3.013052
504,forward,3.167916
505,forward,2.315367
506,forward,3.917612
507,forward,4.898107
508,forward,3.259065
509,forward,3.663715
510,forward,4.052143
511,forward,3.967553
512,forward,5.116873
513,forward,3.773159
514,forward,3.889409
515,forward,3.886286
516,forward,4.194306
517,forward,5.128067
518,forward,3.683520
519,forward,3.676519
520,forward,3.906036
521,forward,5.152261
522,forward,3.923874
523,forward,4.071823
524,forward,3.573892
525,forward,4.274054
526,forward,5.100515
527,forward,3.079954
528,forward,3.787829
529,forward,4.355523
530,forward,3.185886
531,forward,5.271667
532,forward,4.176660
533,forward,4.384320
534,forward,4.317437
535,forward,3.345192
536,forward,5.315456
537,forward,4.982616
538,forward,2.513471
539,forward,4.644191
540,forward,4.885076
541,forward,4.691924
542,forward,3.239965
543,forward,4.878425
544,forward,3.168882
545,forward,3.797384
546,forward,2.800942
547,forward,5.239812
548,forward,4.703007
549,forward,4.736104
550,right,3.083676
551,right,-2.714841
552,right,4.372368
553,right,4.765379
554,right,4.715334
555,right,4.137354
556,right,4.544715
557,right,4.772387
558,right,3.766115
559,right,5.412452
560,right,5.438557
561,right,5.456742
562,right,5.361841
563,right,4.563375
564,right,5.169733
565,right,5.396429
566,right,5.445840
567,right,5.350512
568,right,5.208176
569,right,5.171402
570,right,5.440451
571,right,5.428046
572,right,4.115763
573,right,5.262935
574,right,5.296894
575,right,4.942771
576,right,5.314551
577,right,5.239152
578,right,5.390399
579,right,5.133648
580,forward,2.110851
581,forward,1.183855
582,forward,1.681923
583,forward,3.131867
584,forward,2.580058
585,forward,3.346406
586,forward,4.168103
587,forward,4.921491
588,forward,3.431601
589,forward,3.152746
590,forward,3.802009
591,forward,3.586762
592,forward,4.448273
593,forward,2.912337
594,forward,2.247201
595,forward,3.419300
596,forward,2.925442
597,forward,4.644256
598,forward,2.977850
599,forward,2.686228
600,forward,3.238271
601,forward,4.702087
602,forward,4.215640
603,forward,3.884996
604,forward,4.391128
605,forward,3.456355
606,forward,2.397587
607,forward,1.758187
608,forward,4.162274
609,forward,2.596523
610,forward,3.349915
611,forward,3.717955
612,forward,5.369543
613,forward,3.773347
614,forward,4.136318
615,forward,4.410522
616,forward,3.955112
617,forward,4.445850
618,forward,3.703372
619,forward,2.379330
620,forward,3.402855
621,forward,2.369073
622,forward,3.846471
623,forward,5.042795
624,forward,3.644292
625,forward,3.375930
626,forward,3.882316
627,forward,3.847796
628,forward,5.309990
629,forward,3.736959
630,forward,3.971055
631,forward,3.139823
632,forward,4.041689
633,forward,2.079613
634,forward,2.902090
635,forward,1.690617
636,forward,2.002255
637,forward,2.417808
638,forward,2.308630
639,forward,3.366206
640,forward,3.858829
641,forward,1.722950
642,forward,2.534085
643,forward,3.338477
644,forward,2.855805
645,forward,4.979884
646,forward,3.466782
647,forward,2.352887
648,forward,4.213952
649,forward,3.483082
650,forward,5.160212
651,forward,3.907650
652,forward,3.758898
653,forward,4.069570
654,forward,3.339569
655,forward,5.206440
656,forward,4.070072
657,forward,4.140062
658,forward,4.595374
659,forward,3.599873
660,forward,5.429186
661,forward,4.447168
662,forward,4.132356
663,forward,4.465318
664,forward,3.570622
665,forward,5.368176
666,forward,4.936824
667,forward,2.446443
668,forward,4.855092
669,forward,3.824339
670,forward,4.868215
671,forward,5.106760
672,forward,2.523557
673,forward,4.617196
674,forward,4.273462
675,forward,3.793755
676,forward,5.377255
677,forward,3.864931
678,forward,2.792131
679,forward,4.369504
680,stand,-1.088566
681,stand,-0.055485
682,stand,1.669656
683,stand,1.801299
684,stand,1.865048
685,stand,1.102016
686,stand,1.051051
687,stand,1.446368
688,stand,1.352790
689,stand,1.405975
690,stand,1.429407
691,stand,1.435588
692,stand,1.436082
693,stand,1.435441
694,stand,1.435375
695,stand,1.435383
696,stand,1.435395
697,stand,1.435408
698,stand,1.435417
699,stand,1.435423
700,stand,1.435427
701,stand,1.435430
702,stand,1.435432
703,stand,1.435434
704,stand,1.435435
705,stand,1.435436
706,stand,1.435437
707,stand,1.435437
708,stand,1.435437
709,stand,1.435438
710,left,5.034098
711,left,5.158520
712,left,3.820132
713,left,4.614894
714,left,3.888189
715,left,4.708912
716,left,5.164698
717,left,5.068744
718,left,5.041834
719,left,4.923380
720,left,5.266127
721,left,4.999301
722,left,5.082311
723,left,5.021867
724,left,5.025409
725,left,4.042187
726,left,5.187685
727,left,5.080358
728,left,4.979983
729,left,4.973125
730,left,4.935136
731,left,5.107708
732,left,5.042896
733,left,5.093436
734,left,5.019093
735,left,4.999106
736,left,5.198154
737,left,5.190021
738,left,5.137125
739,left,4.868707
740,forward,1.556822
741,forward,2.007673
742,forward,2.577153
743,forward,3.015998
744,forward,3.178233
745,forward,2.322718
746,forward,3.990544
747,forward,4.722549
748,forward,2.968162
749,forward,3.637006
750,forward,4.010658
751,forward,3.789040
752,forward,4.882550
753,forward,3.208050
754,forward,3.071219
755,forward,3.820730
756,forward,4.641923
757,forward,3.799602
758,forward,3.392814
759,forward,3.690831
760,forward,4.680791
761,forward,3.629502
762,forward,3.419140
763,forward,3.793884
764,forward,3.997139
765,forward,4.734104
766,forward,3.170164
767,forward,3.147962
768,forward,3.766479
769,forward,4.457552
770,forward,4.344033
771,forward,1.984811
772,forward,3.645550
773,forward,3.013659
774,forward,4.877789
775,forward,3.423871
776,forward,4.331577
777,forward,2.859880
778,forward,4.009259
779,forward,4.275008
780,forward,2.034309
781,forward,2.454001
782,forward,3.400710
783,forward,3.192893
784,forward,4.917431
785,forward,3.465756
786,forward,2.936542
787,forward,4.050484
788,forward,3.676462
789,forward,5.183537
