episode,timestep,episode_reward,episode_length
245,24290,-75.4978,11
246,24310,-169.3005,37
247,24320,-47.4333,16
248,24370,-101.7756,36
249,24400,-234.8848,46
250,24560,-354.7708,82
251,24580,-45.5575,18
252,24720,-92.8053,14
253,24890,-623.6662,60
254,24900,-288.7223,58
255,24940,-268.4310,57
256,25090,-228.9016,37
257,25100,-659.0065,144
258,25230,-93.1005,33
259,25320,-108.9478,43
260,25420,-751.7148,163
261,25450,-142.2604,51
262,25540,-58.4081,22
263,25570,-544.4532,101
264,25650,-338.0196,56
265,25680,-176.7996,26
266,25730,-978.3443,142
267,25780,-356.0218,68
268,25780,-129.2780,33
269,25830,-240.1390,60
270,25860,-54.5026,21
271,25900,-120.8841,33
272,25970,-113.8973,43
273,26010,-88.6939,28
274,26220,-111.4418,39
275,26240,-147.3325,27
276,26290,-190.6755,51
277,26400,-225.5254,54
278,26400,-249.7753,72
279,26420,-87.1039,18
280,26590,-116.9879,19
281,26620,-175.4396,40
282,26720,-72.8763,10
283,26880,-5095.3421,1000
284,27110,-225.0149,23
285,27140,-194.5457,42
286,27350,-228.8662,24
287,27380,-450.4839,98
288,27490,-836.5846,148
289,27730,-199.8312,35
290,27850,-759.2877,126
291,27970,-47.9782,12
292,27980,-159.7370,49
293,28110,-1150.6794,169
294,28150,-468.1174,80
295,28480,-198.8751,51
296,28490,-428.4950,76
297,28550,-154.9570,40
298,28640,-842.8553,150
299,28920,-54.3841,28
300,28920,-622.7939,94
301,28940,-367.3096,83
302,29120,-296.3511,57
303,29140,-258.8622,65
304,29260,-192.7953,34
305,29320,-124.2628,20
306,29500,-67.6667,18
307,29620,-424.8603,70
308,30060,-260.5349,56
309,30080,-474.0854,82
310,30190,-456.6744,105
311,30350,-127.6564,27
312,30440,-198.0353,38
313,30530,-60.2211,34
314,30590,-123.7939,24
315,30660,-66.5670,22
316,30740,-54.9710,15
317,30910,-102.7034,25
318,31060,-115.6499,15
319,31140,-5235.9450,1000
320,31240,-615.2799,162
321,31330,-537.5185,59
322,31390,-140.0290,25
323,31390,-132.3095,33
324,31600,-49.7124,21
325,31620,-168.7430,23
326,31860,-50.1646,24
327,32100,-291.1967,50
328,32180,-445.0363,85
329,32560,-290.9953,46
330,32750,-57.9283,19
331,32870,-394.5945,101
332,32930,-391.8718,75
333,33060,-148.6902,31
334,33090,-96.9899,16
335,33400,-103.8310,34
336,33510,-120.2448,64
337,33780,-404.1700,69
338,33940,-234.7054,54
339,34240,-176.4404,30
340,34380,-25.7958,14
341,35010,-950.5984,150
342,35210,-136.3192,20
343,35300,-323.4340,92
344,35450,-33.8059,15
345,35710,-306.3336,50
346,35780,-5204.9746,1000
347,35900,-55.1200,12
348,35900,-5368.6089,1000
349,36020,-28.1268,12
350,36140,-259.1159,69
351,36290,-5353.9545,1000
352,36320,-189.9712,30
353,36380,-135.2710,24
354,36530,-64.1527,15
355,36550,-72.1218,23
356,36810,-640.8167,110
357,36830,-290.9619,93
358,36880,-145.6396,35
359,36980,-52.7792,17
360,37030,-352.9434,74
361,37210,-186.2218,33
362,37260,-67.7301,23
363,37390,-0.8885,13
364,37480,-56.8030,27
365,37550,-558.5431,100
366,37620,-41.4872,14
367,37660,-330.9988,68
368,37730,-291.7676,90
369,37900,-102.0476,35
370,37940,-268.0795,28
371,38010,-224.8558,28
372,38060,-75.3370,16
373,38480,-4971.2935,1000
374,38490,-358.8428,43
375,38530,-845.5796,114
376,38610,-69.5528,12
377,38690,-158.5139,21
378,38770,-906.3087,115
379,38820,-209.5590,29
380,38920,-142.9855,31
381,38940,-5347.0745,1000
382,39030,-124.4754,34
383,39180,-35.5610,26
384,39310,-150.6137,54
385,39310,-233.1747,28
386,39380,-99.4480,44
387,39420,-106.8863,24
388,39480,-12.8085,17
389,39580,-27.0263,20
390,39700,-190.3039,28
391,39830,-133.7036,52
392,39900,-192.3864,20
393,40200,-227.9592,62
394,40410,-393.3789,58
395,40440,-325.8241,96
396,40530,-36.7881,12
397,40530,-4849.3523,1000
398,40570,-245.1235,37
399,40660,-160.0403,22
400,40670,-51.1752,14
401,40680,-42.4708,11
402,40990,-189.1823,32
403,41040,-140.0874,36
404,41120,-78.9646,13
405,41190,-21.8265,15
406,41230,-785.5893,133
407,41240,-5209.1407,1000
408,41340,-502.6288,81
409,41390,-94.2163,27
410,41670,-513.5842,101
411,41810,-231.1585,58
412,41830,-138.8994,59
413,41870,-402.2243,68
414,41890,-38.8705,22
415,41940,-116.3809,60
416,41990,-51.1015,18
417,42070,-13.0118,13
418,42110,-116.4503,22
419,42120,-61.9282,29
420,42330,-424.1644,94
421,42500,-166.1702,43
422,42600,-279.6369,61
423,42680,-303.4676,56
424,42740,-37.0110,14
425,42840,-33.6018,16
426,43210,-621.9876,110
427,43230,-319.4046,49
428,43270,-330.4712,77
429,43600,-166.3127,37
430,43780,-5189.3638,1000
431,43870,6.1631,27
432,44210,-628.8818,137
433,44320,-216.0132,45
434,44330,-56.9646,12
435,44430,-1014.5935,210
436,44450,-18.1685,13
437,44630,-37.6363,18
438,44810,-62.5285,38
439,45040,-64.8193,23
440,45200,-446.7773,87
441,45380,-99.5855,18
442,46860,-1163.0746,182
443,46990,-99.0775,13
444,47310,-894.8819,193
445,47790,-494.4361,80
446,47830,-205.3574,52
447,47940,-5090.0364,1000
448,47950,-19.7840,12
449,48010,-5474.7408,1000
450,48030,-3297.5188,616
451,48450,-152.9187,44
452,48530,-129.0007,50
453,48820,-4895.6885,1000
454,48950,-526.3472,116
455,49030,0.3472,21
456,49030,-299.7864,50
457,49070,-435.3794,113
458,49180,-36.7639,23
459,49970,-364.8926,94
460,50010,-465.7469,94
461,50500,-794.2316,132
462,50510,-779.9327,148
463,50570,-223.5873,60
464,50690,-111.1241,19
465,50790,-43.2220,22
466,50810,-267.8881,80
467,50940,-50.4252,15
468,50950,-298.0358,44
469,50980,-123.5539,29
470,51300,-1548.7147,285
471,51310,-70.1890,33
472,51480,-156.8386,18
473,51520,-91.5700,58
474,51530,-84.5379,22
475,51810,-500.8266,86
476,52140,-162.7213,62
477,52260,-626.1069,145
478,52330,-564.4963,85
479,52430,-88.5333,17
480,52630,-86.0861,30
481,52660,-74.7911,23
482,52960,-320.7582,82
483,53040,-247.5345,41
484,53060,-49.8134,40
485,53170,-30.3267,11
486,53210,-5260.8843,1000
487,53270,-4910.9706,1000
488,53340,-668.4945,153
489,53350,-126.2204,39
490,53370,-168.5910,20
491,53380,-32.2145,17
492,53470,-284.9151,43
493,53540,-115.5388,16
494,53730,-44.7351,36
495,53780,-5242.4255,1000
496,53790,-46.2607,52
497,53810,-100.2807,34
498,53920,-87.5945,14
499,54010,-254.5328,66
500,54010,-58.1208,22
501,54110,-290.7544,77
502,54110,-510.4377,57
503,54240,-56.1654,13
504,54260,-170.2397,45
505,54330,-320.4970,60
506,54460,-209.5634,45
507,54470,-71.3954,23
508,54620,-222.3755,16
509,54630,-5143.5880,1000
510,54640,-66.6513,17
511,54820,-309.2771,49
512,54880,-7.6141,25
513,54910,-178.5677,65
514,55020,-408.5237,91
515,55340,-137.9985,46
516,55400,-218.7517,78
517,55420,-166.4438,40
518,55470,-630.1429,146
519,55480,-74.8640,14
520,55610,-341.3816,79
521,55620,-121.4164,20
522,55730,-239.1750,82
523,55800,-233.2674,40
524,55830,-192.8481,36
525,55970,-136.4051,35
526,56030,-615.0050,139
527,56200,-128.4246,37
528,56210,-197.1815,60
529,56240,-114.7819,51
530,56270,-243.7631,47
531,56350,-76.0891,32
532,56350,-72.4799,15
533,56550,-84.8038,20
534,56560,-87.9611,29
535,56580,-794.3856,110
536,56650,-205.1193,44
537,56650,-130.0644,41
538,56720,-57.0575,14
539,56820,-43.9685,17
540,56870,8.1252,15
541,56890,-163.1429,33
542,56940,-253.1497,29
543,56980,-257.6410,101
544,57020,-14.9975,13
545,57150,-120.0383,33
546,57420,-434.5560,27
547,57510,-171.8535,49
548,57550,-238.8963,68
549,57570,-75.3681,59
550,57580,-554.4991,103
551,57630,-285.6323,69
552,57730,-110.4805,22
553,57770,-374.4947,142
554,57780,-160.5254,23
555,57950,-220.7394,53
556,57950,-5169.3817,1000
557,57970,-156.6058,40
558,58120,-170.3996,35
559,58130,-15.2613,18
560,58180,-128.3193,55
561,58340,-83.0692,16
562,58360,-169.9303,63
563,58520,-161.8031,57
564,58600,-84.3971,24
565,58660,-163.2204,69
566,58750,-375.5235,63
567,58770,-232.3391,25
568,58890,5.5270,12
569,58890,-149.7749,29
570,59060,-76.2594,17
571,59110,-192.5792,77
572,59190,-113.2458,44
573,59210,-49.5135,10
574,59260,-260.6363,60
575,59370,-358.8093,48
576,59440,-97.9176,38
577,59450,-32.0238,8
578,59550,-1007.1375,177
579,59610,-158.2115,40
580,59620,-62.1446,36
581,59640,-140.2710,20
582,59740,-11.9073,29
583,59800,-237.6541,61
584,59870,-138.6646,32
585,59980,-65.3092,11
586,60090,-118.6143,29
587,60140,6.6778,16
588,60150,-170.0271,54
589,60320,-228.9130,58
590,60470,-427.9593,83
591,60550,-277.7873,41
592,60800,-67.7860,25
593,61130,-615.9493,104
594,61280,-247.3817,48
595,61390,-109.2035,26
596,61530,-5010.8243,1000
597,61690,-477.6948,122
598,61820,-75.6981,13
599,61940,-160.7321,55
600,62010,-258.8036,48
601,62140,-270.9460,86
602,62260,-9.6059,32
603,62270,-77.2634,26
604,62440,-443.8702,62
605,62520,-165.2140,38
606,62670,-70.2664,23
607,62710,-144.0522,45
608,62800,-138.1491,28
609,62950,-183.6253,68
610,63160,-135.4486,36
611,63230,-142.0230,56
612,63380,-75.1816,22
613,63420,-64.2967,19
614,63520,-41.2112,14
615,63660,-310.1069,95
616,63830,-190.7235,31
617,63920,-5244.1935,1000
618,63940,-315.4976,52
619,64090,-30.6341,17
620,64320,-149.8477,38
621,64460,-293.5985,63
622,64470,-205.6066,38
623,64680,-256.8752,36
624,64870,-75.3554,19
625,64970,-362.5699,51
626,65000,-145.9639,53
627,65130,-797.2246,147
628,65210,-82.9871,21
629,65270,-22.6306,14
630,65440,-159.9050,23
631,65630,-116.6986,36
632,65670,-274.8291,70
633,65760,-186.0935,32
634,65840,-100.5715,21
635,65980,-46.0521,14
636,66180,-139.2377,42
637,66240,-124.8715,26
638,66360,-27.3076,12
639,66610,-362.4467,94
640,66650,-159.0288,47
641,67260,-226.2197,61
642,67380,-62.7644,12
643,67490,-615.7282,113
644,67580,-5541.6294,1000
645,67620,-145.1415,13
646,67750,-63.3546,13
647,67800,-297.7106,22
648,67810,-134.4021,43
649,68010,-836.2669,140
650,68100,-287.1463,30
651,68130,-5196.8453,1000
652,68150,-214.4631,34
653,68250,-394.6451,50
654,68320,-86.9261,31
655,68430,-136.3504,28
656,68470,-121.2873,22
657,68540,-151.7255,44
658,68580,-89.0231,26
659,68730,-81.0526,19
660,69390,-380.6131,66
661,69590,-118.8774,20
662,69620,-5141.5198,1000
663,69710,-597.3290,113
664,69810,-28.5404,22
665,70020,-1007.7428,189
666,70150,-5327.3495,1000
667,70320,-5201.8267,1000
668,70350,-266.3146,64
669,70420,-614.9268,195
670,70430,-222.8322,81
671,70730,-111.7675,31
672,70790,-155.3702,36
673,70930,-224.8173,91
674,70990,-135.5406,20
675,71020,-1535.9459,259
676,71020,-679.0072,87
677,71160,-61.0956,17
678,71260,-606.3338,145
679,71300,-234.9300,57
680,71500,-479.4410,118
681,71560,-226.1001,54
682,71820,-538.3448,89
683,71860,-336.4028,84
684,71890,-112.9513,63
685,72070,-77.1587,21
686,72110,-293.4700,81
687,72140,-174.8391,58
688,72220,-132.9981,72
689,72340,-202.6993,27
690,72430,-27.7850,21
691,72470,-273.2924,36
692,72580,-1017.9881,142
693,72610,-364.8659,72
694,72890,-82.7683,42
695,72950,-5136.0081,1000
696,73120,-626.8544,98
697,73350,-1184.9743,101
698,73690,-780.3029,111
699,73690,-554.8534,80
700,73780,-536.4280,66
701,73900,-552.7235,129
702,73920,-307.8382,57
703,74030,-25.6510,34
704,74030,-241.4415,34
705,74130,-275.6775,35
706,74270,-104.9011,24
707,74420,-152.2830,29
708,74430,-904.9828,148
709,74550,-55.8868,28
710,74610,-425.9948,71
711,74620,-270.8554,70
712,74700,-36.7747,15
713,74720,-42.8903,10
714,74800,-611.2145,77
715,74840,-184.8780,42
716,74870,-5009.9429,1000
717,74890,-476.8338,46
718,74980,-139.1657,14
719,75040,-61.8319,15
720,75060,-46.5510,26
721,75140,-43.3381,27
722,75480,-410.5548,76
723,75550,-228.5033,41
724,75720,-333.7297,74
725,75770,-94.3675,29
726,75770,-373.7107,73
727,75870,-42.0258,32
728,75950,-423.3301,125
729,76070,-62.5205,30
730,76080,-52.5677,21
731,76270,-352.6227,121
732,76310,-113.7389,36
733,76370,-913.8218,176
734,76370,-807.7390,65
735,76440,-32.1169,17
736,76520,-288.8764,45
737,76640,-848.2480,87
738,76770,-216.1177,69
739,76790,-53.7443,27
740,76800,-240.3500,49
741,76810,-362.8525,44
742,76880,-203.6295,51
743,76920,-11.8755,11
744,76950,-95.1296,16
745,77020,-201.5947,38
746,77150,-116.9951,27
747,77260,-61.3968,11
748,77430,-370.4458,99
749,77650,-106.6778,22
750,77760,-527.8984,81
751,77770,-439.9318,97
752,77780,-338.4074,86
753,77960,-321.9044,70
754,77990,-162.7781,23
755,78100,-60.8645,11
756,78140,-335.5771,49
757,78190,-117.1530,41
758,78200,-508.8578,118
759,78250,-337.2787,48
760,78270,-64.4337,31
761,78500,-27.8151,25
762,78520,-105.3531,33
763,78570,-114.1580,30
764,78640,-134.5342,54
765,78660,-77.4203,16
766,78740,-344.9526,60
767,78870,-131.1644,23
768,79020,-182.6862,45
