timestep,command,reward
326,forward,0.753141
327,forward,0.750510
328,forward,0.779912
329,forward,0.843413
330,forward,0.782498
331,forward,0.750277
332,forward,0.756441
333,forward,0.831480
334,forward,0.790337
335,forward,0.856510
336,forward,0.689798
337,forward,0.421681
338,forward,0.491378
339,forward,0.336519
340,right,5.139583
341,right,5.067264
342,right,5.090059
343,right,2.747872
344,right,-0.767440
345,right,-1.931667
346,right,3.200401
347,right,2.832258
348,right,4.843805
349,right,4.514181
350,right,5.106112
351,right,5.043398
352,right,5.187343
353,right,5.423103
354,right,5.428702
355,right,3.396598
356,right,2.777351
357,right,5.407326
358,right,4.171879
359,right,2.440237
360,right,-1.139516
361,right,5.222028
362,right,5.222995
363,right,4.155210
364,right,2.192607
365,right,4.832601
366,right,1.734860
367,right,4.482614
368,right,3.704117
369,right,4.478632
370,forward,-1.058320
371,forward,1.234222
372,forward,1.007416
373,forward,3.393398
374,forward,2.159494
375,forward,3.309174
376,forward,2.814330
377,forward,1.841887
378,forward,1.711024
379,forward,2.634314
380,forward,-0.790124
381,forward,0.373172
382,forward,1.030993
383,forward,1.019190
384,forward,2.965298
385,forward,3.345052
386,forward,0.951828
387,forward,2.252839
388,forward,2.892652
389,forward,2.796777
390,forward,3.937895
391,forward,4.498269
392,forward,2.667992
393,forward,2.938298
394,forward,3.842429
395,forward,3.236538
396,forward,5.183135
397,forward,2.977577
398,forward,3.468654
399,forward,3.827180
400,forward,3.914298
401,forward,4.981743
402,forward,3.536416
403,forward,3.731977
404,forward,3.777033
405,forward,3.490323
406,forward,4.652214
407,forward,2.854990
408,forward,3.594088
409,forward,2.746763
410,forward,1.881267
411,forward,2.015198
412,forward,2.419215
413,forward,-0.009443
414,forward,1.119595
415,forward,2.028600
416,forward,2.625935
417,forward,3.265255
418,forward,4.180620
419,forward,2.151376
420,forward,2.835947
421,forward,3.437646
422,forward,3.705498
423,forward,3.589653
424,forward,3.037370
425,forward,2.641941
426,forward,1.272464
427,forward,-0.026666
428,forward,1.064006
429,forward,-0.412685
430,forward,0.186109
431,forward,1.059559
432,forward,3.191250
433,forward,4.323908
434,forward,1.481815
435,forward,0.250584
436,forward,1.723981
437,forward,1.559164
